dt,open,high,low,close,volume,Rsi7,Rsi14,Rsi26,ema7,ema12,ema26,sma7,sma14,sma26,bollup,bolldown,sma20,macd
1/20/2022,41660.0,43505.0,40553.31,40680.91,42330.34,24.71,31.78,36.74,42301.51,42546.15,44220.21,42301.51,42773.32,44220.21,47269.76,39335.88,43302.82,-1674.0599999999977
1/21/2022,40680.92,41100.0,35440.45,36445.31,88860.89,11.86,22.36,31.16,41356.56,41607.54,43644.32,41356.56,41929.61,43644.32,47231.77,38246.13,42738.95,-2036.7799999999988
1/22/2022,36445.31,36835.22,34008.0,35071.42,90471.34,9.91,20.26,29.65,40211.86,40601.96,43009.33,40211.86,41015.21,43009.33,47289.49,36966.93,42128.21,-2407.3700000000026
1/23/2022,35071.42,36499.0,34601.01,36244.55,44279.52,22.59,26.6,32.56,39236.56,39931.57,42508.26,39236.56,40379.14,42508.26,46994.57,36241.69,41618.13,-2576.6900000000023
1/24/2022,36244.55,37550.0,32917.17,36660.35,91904.75,26.85,28.76,33.58,38444.95,39428.29,42075.11,38444.95,39883.31,42075.11,46586.99,35732.11,41159.55,-2646.8199999999997
1/25/2022,36660.35,37545.14,35701.0,36958.32,49232.4,30.06,30.34,34.32,37674.41,39048.29,41696.11,37674.41,39493.32,41696.11,46458.39,35211.43,40834.91,-2647.8199999999997
1/26/2022,36958.32,38919.98,36234.63,36809.34,69830.16,29.31,29.98,34.12,36981.46,38703.83,41334.15,36981.46,39135.46,41334.15,46314.16,34728.36,40521.26,-2630.3199999999997
1/27/2022,36807.24,37234.47,35507.01,37160.1,53020.88,33.85,32.02,35.03,36478.48,38466.33,41024.98,36478.48,38872.09,41024.98,46259.28,34342.6,40300.94,-2558.6500000000015
1/28/2022,37160.11,38000.0,36155.01,37716.56,42154.27,40.89,35.23,36.48,36660.09,38350.98,40779.93,36660.09,38718.02,40779.93,46131.24,34074.32,40102.78,-2428.949999999997
1/29/2022,37716.57,38720.74,37268.44,38166.84,26129.5,46.28,37.8,37.66,37102.29,38322.65,40586.38,37102.29,38644.53,40586.38,45945.66,33890.14,39917.9,-2263.729999999996
